@relation news_aggregator

@attribute Pendidikan numeric
@attribute Politik numeric
@attribute HukumdanKriminal numeric
@attribute SosialBudaya numeric
@attribute Olahraga numeric
@attribute TeknologidanSains numeric
@attribute Hiburan numeric
@attribute BisnisdanEkonomi numeric
@attribute Kesehatan numeric
@attribute BencanadanKecelakaan numeric
@attribute label {Pendidikan, Politik, HukumdanKriminal, SosialBudaya, Olahraga, TeknologidanSains, Hiburan, BisnisdanEkonomi, Kesehatan, BencanadanKecelakaan}

@data
1,21,5,3,0,0,3,2,2,0,Politik
0,8,8,4,0,0,4,5,0,1,Politik
0,15,6,0,0,0,1,1,1,2,Politik
1,11,16,4,1,1,4,3,1,1,Politik
0,11,11,2,0,1,2,0,0,1,Politik
0,8,11,9,2,1,7,7,1,1,Politik
1,0,9,0,0,2,1,0,3,4,Politik
0,9,7,2,1,1,2,0,2,0,Politik
0,1,9,3,0,3,3,4,0,4,Politik
1,10,15,3,1,3,2,0,1,6,Politik
2,7,8,1,1,1,2,3,2,1,Politik
1,0,8,2,0,0,2,3,0,1,Politik
1,23,13,7,3,1,2,11,0,5,Politik
2,3,12,4,0,2,2,6,2,4,Politik
0,8,7,2,1,1,1,0,0,1,Politik
0,5,6,0,0,0,0,1,0,0,Politik
2,8,26,3,0,0,2,4,1,3,Politik
2,11,7,4,0,1,3,0,0,0,Politik
4,5,8,4,0,1,3,6,1,0,Politik
0,4,5,6,1,0,1,4,1,0,Politik
0,3,7,2,0,0,2,0,5,3,Politik
0,16,10,2,2,2,4,1,2,1,Politik
0,7,7,4,0,1,3,5,0,2,Politik
0,7,7,5,1,1,1,3,0,1,Politik
0,5,10,0,1,0,0,1,1,1,Politik
0,6,14,3,1,2,1,2,0,11,Politik
1,10,15,3,0,1,1,2,0,2,Politik
2,3,9,0,1,0,3,1,0,3,Politik
2,9,7,3,2,1,6,1,0,1,Politik
0,7,8,4,1,1,2,4,0,1,Politik
1,6,6,1,0,0,2,2,0,1,Politik
3,12,13,8,0,5,5,10,3,1,Politik
0,2,4,5,0,1,1,2,0,2,Politik
1,10,5,2,4,3,2,2,1,0,Politik
1,13,6,1,4,3,3,3,1,1,Politik
1,16,10,7,2,1,2,2,2,1,Politik
0,9,7,3,0,1,3,1,1,1,Politik
3,8,14,5,1,6,1,3,2,1,Politik
0,13,6,1,6,1,1,1,0,3,Politik
0,14,7,2,2,1,3,2,2,2,Politik
0,12,11,3,0,0,0,3,0,0,Politik
0,6,16,2,0,1,1,3,1,3,HukumdanKriminal
1,7,15,4,1,0,4,4,0,1,HukumdanKriminal
1,5,7,1,0,0,2,5,0,2,HukumdanKriminal
3,13,15,7,0,1,2,4,0,1,HukumdanKriminal
1,2,8,1,0,2,1,2,0,1,HukumdanKriminal
1,7,21,2,0,1,1,6,1,2,HukumdanKriminal
0,2,14,2,1,0,0,1,0,7,HukumdanKriminal
2,2,13,1,0,2,4,2,0,5,HukumdanKriminal
2,6,9,5,1,1,2,6,2,1,HukumdanKriminal
1,1,11,4,0,0,1,2,1,2,HukumdanKriminal
9,8,15,4,0,0,3,9,0,3,HukumdanKriminal
1,6,29,3,1,1,1,6,2,3,HukumdanKriminal
1,4,23,3,0,0,2,6,4,3,HukumdanKriminal
2,2,4,4,0,2,3,3,1,1,HukumdanKriminal
1,1,5,1,0,0,3,1,0,3,HukumdanKriminal
1,1,13,0,0,0,1,0,2,6,HukumdanKriminal
0,8,9,0,1,0,2,1,1,2,HukumdanKriminal
2,8,31,4,0,2,2,12,2,3,HukumdanKriminal
1,8,17,3,3,4,8,5,2,9,HukumdanKriminal
0,4,10,3,1,1,0,8,0,3,HukumdanKriminal
1,7,39,4,0,1,6,7,1,5,HukumdanKriminal
0,8,5,3,0,0,0,3,0,0,HukumdanKriminal
0,2,11,0,0,0,3,4,0,5,HukumdanKriminal
7,8,8,1,1,1,1,2,0,0,HukumdanKriminal
2,4,20,4,0,2,3,2,0,7,HukumdanKriminal
0,1,13,1,0,0,2,0,2,7,HukumdanKriminal
0,2,16,2,0,2,5,0,3,3,HukumdanKriminal
3,9,29,4,1,0,3,3,1,8,HukumdanKriminal
0,2,22,3,0,0,2,0,0,0,HukumdanKriminal
2,6,17,1,8,4,2,3,5,5,HukumdanKriminal
0,1,8,0,1,3,4,1,3,10,HukumdanKriminal
1,7,22,2,1,2,1,5,1,3,HukumdanKriminal
2,0,10,0,1,1,1,6,1,4,HukumdanKriminal
1,6,29,5,0,0,1,2,1,5,HukumdanKriminal
1,8,17,4,0,0,3,0,1,7,HukumdanKriminal
2,2,17,4,0,0,1,4,2,2,HukumdanKriminal
1,5,19,2,0,0,1,4,1,4,HukumdanKriminal
2,5,22,5,1,0,1,6,0,2,HukumdanKriminal
1,0,13,2,2,5,3,2,0,4,HukumdanKriminal
1,4,19,2,0,0,5,2,1,2,HukumdanKriminal
4,11,10,3,0,1,1,1,0,0,HukumdanKriminal
0,0,14,2,2,0,1,1,1,4,HukumdanKriminal
0,12,23,3,0,2,0,3,2,1,HukumdanKriminal
3,6,15,3,0,0,2,0,0,2,HukumdanKriminal
0,5,10,3,1,0,3,1,0,3,HukumdanKriminal
0,12,7,2,0,1,1,4,0,2,HukumdanKriminal
1,6,9,5,0,1,3,5,1,1,HukumdanKriminal
0,0,6,2,0,3,3,1,3,3,HukumdanKriminal
1,4,16,5,0,2,1,3,0,10,HukumdanKriminal
1,5,19,2,1,4,2,4,6,6,HukumdanKriminal
2,2,20,2,0,0,1,1,1,4,HukumdanKriminal
2,0,17,2,0,1,1,4,1,7,HukumdanKriminal
0,5,28,2,0,3,3,10,2,1,HukumdanKriminal
0,5,16,2,0,3,3,4,0,1,HukumdanKriminal
1,4,15,1,0,0,0,4,1,4,HukumdanKriminal
2,14,40,7,0,1,3,4,2,4,HukumdanKriminal
